county,province,capital
mombasa,coast,mombasa
kwale,coast,kwale
kilifi,coast,kilifi
tana river,coast,hola
lamu,coast,lamu
taita,coast,voi
garissa,north eastern,garissa
wajir,north eastern,wajir
mandera,north eastern,mandera
marsabit,eastern,marsabit
isiolo,eastern,isiolo
meru,eastern,meru
tharaka,eastern,chuka
embu,eastern,embu
kitui,eastern,kitui
machakos,eastern,machakos
makueni,eastern,wote
nyandarua,central,ol kalou
nyeri,central,nyeri
kirinyaga,central,kerugoya / kutus
muranga,central,murang'a
kiambu,central,kiambu
turkana,rift valley,lodwar
pokot,rift valley,kapenguria
samburu,rift valley,maralal
trans nzoia,rift valley,kitale
uasin,rift valley,eldoret
elgeyo,rift valley,iten
nandi,rift valley,kapsabet
baringo,rift valley,kabarnet
laikipia,rift valley,rumuruti
nakuru,rift valley,nakuru
narok,rift valley,narok
kajiado,rift valley,kajiado
kericho,rift valley,kericho
bomet,rift valley,bomet
kakamega,western,kakamega
vihiga,western,vihiga
bungoma,western,bungoma
busia,western,busia
siaya,nyanza,siaya
kisumu,nyanza,kisumu
homa,nyanza,homa bay
migori,nyanza,migori
kisii,nyanza,kisii
nyamira,nyanza,nyamira
nairobi,nairobi,nairobi
