age,age_int,children_1,children_2,children_int
1 years,1,one child ,1 child,1
2 years,2,two children,2 children,2
3 years,3,three children,3 children,3
4 years,4,four children ,4 children,4
5 years,5,five children,5 children,5
6 years,6,six children,6 children,6
7 years,7,seven children,7 children,7
8 years,8,eight children,8 children,8
9 years,9,nine children,9 children,9
10 years,10,ten children,10 children,10
11 years,11,eleven children,11 children,11
12 years,12,twelve children,12 children,12
13 years,13,thirteen children,13 children,13
14 years,14,fourteen children,14 children,14
15 years,15,,,
16 years,16,,,
17 years,17,,,
18 years,18,,,
19 years,19,,,
20 years,20,,,
21 years,21,,,
22 years,22,,,
23 years,23,,,
24 years,24,,,
25 years,25,,,
26 years,26,,,
27 years,27,,,
28 years,28,,,
29 years,29,,,
30 years,30,,,
31 years,31,,,
32 years,32,,,
33 years,33,,,
34 years,34,,,
35 years,35,,,
36 years,36,,,
37 years,37,,,
38 years,38,,,
39 years,39,,,
40 years,40,,,
41 years,41,,,
42 years,42,,,
43 years,43,,,
44 years,44,,,
45 years,45,,,
46 years,46,,,
47 years,47,,,
48 years,48,,,
49 years,49,,,
50 years,50,,,
51 years,51,,,
52 years,52,,,
53 years,53,,,
54 years,54,,,
55 years,55,,,
56 years,56,,,
57 years,57,,,
58 years,58,,,
59 years,59,,,
60 years,60,,,
61 years,61,,,
62 years,62,,,
63 years,63,,,
64 years,64,,,
65 years,65,,,
66 years,66,,,
67 years,67,,,
68 years,68,,,
69 years,69,,,
70 years,70,,,
71 years,71,,,
72 years,72,,,
73 years,73,,,
74 years,74,,,
75 years,75,,,
76 years,76,,,
77 years,77,,,
78 years,78,,,
79 years,79,,,
80 years,80,,,
81 years,81,,,
82 years,82,,,
83 years,83,,,
84 years,84,,,
85 years,85,,,
86 years,86,,,
87 years,87,,,
88 years,88,,,
89 years,89,,,
90 years,90,,,
91 years,91,,,
92 years,92,,,
93 years,93,,,
94 years,94,,,
95 years,95,,,
96 years,96,,,
97 years,97,,,
98 years,98,,,
99 years,99,,,
100 years,100,,,
101 years,101,,,
102 years,102,,,
103 years,103,,,
104 years,104,,,
105 years,105,,,
106 years,106,,,
107 years,107,,,
108 years,108,,,
109 years,109,,,
110 years,110,,,
111 years,111,,,
112 years,112,,,
113 years,113,,,
114 years,114,,,
115 years,115,,,
116 years,116,,,
117 years,117,,,
118 years,118,,,
119 years,119,,,
120 years,120,,,
121 years,121,,,
122 years,122,,,
123 years,123,,,
124 years,124,,,
