Comments,Date,Favorites,User,Polarity,Sentiment
RT @atmadiprayET: Here's why Janalakshmi Financial takes so long to small finance bank transition https://t.co/traKQNXuxe via @economictime…,3/22/2018 5:40,0,Saloni Shukla,-0.1,negative
"RT @ecosmob: Ecosmob's #Mobility solutions for #Banking, #Microfinance and other financial institutions help in improving customer experien…",3/22/2018 5:36,0,Sindhav Bhageerath,-0.0625,neutral
Project have big future! Microfinance is believed by many to be the potential key to helping fight even the most st… https://t.co/DTLMxRZnr6,3/22/2018 5:27,0,Konstantin #savedroidICO,0.166666667,positive
#Online #Banking-  Yako Microfinance Bank provides convenient and safe #Online #Banking #Services to help you manag… https://t.co/I4csg8ppFJ,3/22/2018 5:21,0,YakoMicrofinance,0.5,positive
"MICROFINANCE EVENT: 3rd BoP Global Network Summit; April 18 - 20, 2018; New Delhi, India https://t.co/s27AK1FgSt",3/22/2018 5:19,0,MicroCapital,0.045454545,positive
RT @FINCA: .@rupertscofield spoke with @techweez about the digitization underway in #microfinance and the role #fintech has to play in expa…,3/22/2018 5:08,0,Right Angles,0,neutral
Capacity building and knowledge management are essential for builing a critical mass of strong institutions in Afri… https://t.co/EnNbza9aaX,3/22/2018 5:03,0,@barbara_zawedde,0.144444444,positive
"RT @oluabudu: Get a cash loan of N200,000 to N2.5m. For salary earners who live and work in Lagos State with no Collateral or Guarantor nee…",3/22/2018 5:00,0,Tola Abudu,0.136363636,positive
RT @PoojaMedia: From being an influencer for a microfinance bank to being invited as a sports influencer for BBC Africa for their Lagos Bur…,3/22/2018 4:59,0,idee,0,neutral
RT @WhatWorksVAWG: Read latest blog from Erin Stern @LSHTM on the impact of Microfinance &amp; gender transformative programmes for preventing…,3/22/2018 4:58,0,Sofia Sprechmann,0.5,positive
Microfinance institutions tipped on lending and consumer protection https://t.co/Qgay3pQjmN via @NewTimesRwanda,3/22/2018 4:56,0,DUSABIRANE Aimable,0,neutral
RT @Vitaly_Tennant: How the World Benefits from the Expansion of Microfinance https://t.co/w5rq07vVo2,3/22/2018 4:47,0,BEBA,0,neutral
RT @FINCA: .@rupertscofield spoke with @techweez about the digitization underway in #microfinance and the role #fintech has to play in expa…,3/22/2018 4:33,0,Techweez,0,neutral
RT @PoojaMedia: From being an influencer for a microfinance bank to being invited as a sports influencer for BBC Africa for their Lagos Bur…,3/22/2018 4:26,0,Sovereign.,0,neutral
RT @angelicafuentes: Microfinance helps low-income sectors of society have equal access to  financial  services.  This is a  clear example…,3/22/2018 4:20,0,HIRSCH-RIZO ANGELA,0.033333333,positive
"RT @ecosmob: Ecosmob's #Mobility solutions for #Banking, #Microfinance and other financial institutions help in improving customer experien…",3/22/2018 4:07,0,Hiten Dudhatra,-0.0625,neutral
